date,skor,close,s_mom,s_rsi,s_vol,s_idr,s_tr
2022-07-12,35.3,6718.2939453125,,,,,
2022-07-13,27.8,6640.990234375,,,,,
2022-07-14,32.6,6690.0869140625,,,,,
2022-07-15,19.9,6651.90478515625,,,,,
2022-07-18,20.7,6659.2529296875,,,,,
2022-07-19,28.0,6736.091796875,,,,,
2022-07-20,30.9,6874.7431640625,,,,,
2022-07-21,31.4,6864.130859375,,,,,
2022-07-22,34.7,6886.9619140625,,,,,
2022-07-25,32.3,6858.4072265625,,,,,
2022-07-26,39.0,6871.537109375,,,,,
2022-07-27,48.7,6898.2158203125,,,,,
2022-07-28,54.4,6956.81689453125,,,,,
2022-07-29,63.7,6951.123046875,,,,,
2022-08-01,60.0,6968.783203125,,,,,
2022-08-02,55.2,6988.1572265625,,,,,
2022-08-03,58.6,7046.634765625,,,,,
2022-08-04,58.9,7057.34814453125,,,,,
2022-08-05,54.7,7084.65478515625,,,,,
2022-08-08,53.4,7086.84912109375,,,,,
2022-08-09,56.8,7102.8798828125,,,,,
2022-08-10,56.0,7086.23583984375,,,,,
2022-08-11,60.3,7160.384765625,,,,,
2022-08-12,57.2,7129.27685546875,,,,,
2022-08-15,55.7,7093.27587890625,,,,,
2022-08-16,57.2,7133.453125,,,,,
2022-08-18,62.8,7186.55810546875,,,,,
2022-08-19,62.9,7172.43408203125,,,,,
2022-08-22,63.1,7107.98291015625,,,,,
2022-08-23,68.8,7163.26513671875,,,,,
2022-08-24,67.4,7194.7060546875,,,,,
2022-08-25,65.8,7174.2080078125,,,,,
2022-08-26,63.6,7135.248046875,,,,,
2022-08-29,67.2,7132.044921875,,,,,
2022-08-30,71.0,7159.47314453125,,,,,
2022-08-31,76.0,7178.58984375,,,,,
2022-09-01,75.8,7153.10400390625,,,,,
2022-09-02,76.8,7177.17919921875,,,,,
2022-09-05,84.0,7231.8828125,,,,,
2022-09-06,82.6,7233.15478515625,,,,,
2022-09-07,80.9,7186.7568359375,,,,,
2022-09-08,84.4,7232.01708984375,,,,,
2022-09-09,84.8,7242.65576171875,,,,,
2022-09-12,83.4,7254.4638671875,,,,,
2022-09-13,83.3,7318.01611328125,,,,,
2022-09-14,77.9,7278.078125,,,,,
2022-09-15,79.3,7305.60107421875,,,,,
2022-09-16,70.8,7168.8701171875,,,,,
2022-09-19,72.4,7195.48779296875,,,,,
2022-09-20,74.2,7196.951171875,,,,,
2022-09-21,72.7,7188.31396484375,,,,,
2022-09-22,70.5,7218.90576171875,,,,,
2022-09-23,62.8,7178.5830078125,,,,,
2022-09-26,53.2,7127.5029296875,,,,,
2022-09-27,53.8,7112.44921875,,,,,
2022-09-28,46.3,7077.03076171875,,,,,
2022-09-29,42.5,7036.1982421875,,,,,
2022-09-30,39.6,7040.7978515625,,,,,
2022-10-03,35.2,7009.7177734375,,,,,
2022-10-04,41.6,7072.255859375,,,,,
2022-10-05,42.8,7075.384765625,,,,,
2022-10-06,43.1,7076.623046875,,,,,
2022-10-07,39.3,7026.783203125,,,,,
2022-10-10,45.9,6994.39501953125,,,,,
2022-10-11,39.0,6939.14501953125,,,,,
2022-10-12,38.4,6909.208984375,,,,,
2022-10-13,34.4,6880.625,,,,,
2022-10-14,34.7,6814.52978515625,,,,,
2022-10-17,37.9,6831.115234375,,,,,
2022-10-18,33.0,6834.494140625,,,,,
2022-10-19,35.9,6860.416015625,,,,,
2022-10-20,49.2,6980.65185546875,,,,,
2022-10-21,51.4,7017.77099609375,,,,,
2022-10-24,53.4,7053.0439453125,,,,,
2022-10-25,53.6,7048.3798828125,,,,,
2022-10-26,52.4,7043.93896484375,,,,,
2022-10-27,55.8,7091.76123046875,,,,,
2022-10-28,50.5,7056.0400390625,,,,,
2022-10-31,45.9,7098.89013671875,,,,,
2022-11-01,45.5,7052.30322265625,,,,,
2022-11-02,40.6,7015.68994140625,,,,,
2022-11-03,42.5,7034.5732421875,,,,,
2022-11-04,42.2,7045.52685546875,,,,,
2022-11-07,44.9,7102.39599609375,,,,,
2022-11-08,44.2,7050.1259765625,,,,,
2022-11-09,46.0,7070.083984375,,,,,
2022-11-10,37.8,6966.8369140625,,,,,
2022-11-11,47.4,7089.2060546875,,,,,
2022-11-14,44.2,7019.39208984375,,,,,
2022-11-15,43.8,7035.5,,,,,
2022-11-16,42.7,7014.3837890625,,,,,
2022-11-17,42.9,7044.98583984375,,,,,
2022-11-18,43.9,7082.18115234375,,,,,
2022-11-21,39.3,7063.2470703125,,,,,
2022-11-22,32.6,7030.587890625,,,,,
2022-11-23,30.3,7054.123046875,,,,,
2022-11-24,35.0,7080.51513671875,,,,,
2022-11-25,31.5,7053.14990234375,,,,,
2022-11-28,34.5,7017.35791015625,,,,,
2022-11-29,34.9,7012.06884765625,,,,,
2022-11-30,44.8,7081.31298828125,,,,,
2022-12-01,40.1,7020.80322265625,,,,,
2022-12-02,41.8,7019.63916015625,,,,,
2022-12-05,38.1,6987.328125,,,,,
2022-12-06,30.5,6892.56982421875,,,,,
2022-12-07,27.8,6818.751953125,,,,,
2022-12-08,22.5,6804.22705078125,,,,,
2022-12-09,24.7,6715.1181640625,,,,,
2022-12-12,26.5,6734.4521484375,,,,,
2022-12-13,39.3,6810.31591796875,,,,,
2022-12-14,38.1,6801.7490234375,,,,,
2022-12-15,41.8,6751.85986328125,,,,,
2022-12-16,49.0,6812.19287109375,,,,,
2022-12-19,50.2,6779.6982421875,,,,,
2022-12-20,43.8,6768.31591796875,,,,,
2022-12-21,43.6,6820.6630859375,,,,,
2022-12-22,44.6,6824.43212890625,,,,,
2022-12-23,39.8,6800.6728515625,,,,,
2022-12-26,43.0,6835.80810546875,,,,,
2022-12-27,51.9,6923.02685546875,,,,,
2022-12-28,48.6,6850.52001953125,,,,,
2022-12-29,44.8,6860.0771484375,,,,,
2022-12-30,41.3,6850.619140625,,,,,
2023-01-02,40.6,6850.98388671875,,,,,
2023-01-03,46.5,6888.7578125,,,,,
2023-01-04,47.3,6813.23876953125,,,,,
2023-01-05,43.1,6653.8408203125,,,,,
2023-01-06,41.8,6684.55810546875,,,,,
2023-01-09,38.9,6688.26513671875,,,,,
2023-01-10,30.0,6622.4990234375,,,,,
2023-01-11,27.7,6584.453125,,,,,
2023-01-12,31.1,6629.93408203125,,,,,
2023-01-13,36.1,6641.830078125,,,,,
2023-01-16,42.2,6688.05712890625,,,,,
2023-01-17,55.4,6767.33984375,,,,,
2023-01-18,57.4,6765.7861328125,,,,,
2023-01-19,57.9,6819.9072265625,,,,,
2023-01-20,65.9,6874.93115234375,,,,,
2023-01-24,72.5,6860.85400390625,,,,,
2023-01-25,71.4,6829.93017578125,,,,,
2023-01-26,74.9,6864.81787109375,,,,,
2023-01-27,82.2,6898.98095703125,,,,,
2023-01-30,82.9,6872.48095703125,,,,,
2023-01-31,78.3,6839.341796875,,,,,
2023-02-01,75.9,6862.2578125,,,,,
2023-02-02,73.7,6890.57177734375,,,,,
2023-02-03,85.5,6911.73193359375,,,,,
2023-02-06,79.4,6873.791015625,,,,,
2023-02-07,82.9,6935.30078125,,,,,
2023-02-08,83.6,6940.1240234375,,,,,
2023-02-09,77.1,6897.365234375,,,,,
2023-02-10,71.9,6880.3291015625,,,,,
2023-02-13,79.2,6900.14013671875,,,,,
2023-02-14,84.4,6941.85498046875,,,,,
2023-02-15,81.5,6914.5380859375,,,,,
2023-02-16,86.0,6895.6640625,,,,,
2023-02-17,88.0,6895.7138671875,,,,,
2023-02-20,82.5,6894.716796875,,,,,
2023-02-21,79.8,6873.40478515625,,,,,
2023-02-22,70.5,6809.9677734375,,,,,
2023-02-23,73.3,6839.4541015625,,,,,
2023-02-24,73.2,6856.576171875,,,,,
2023-02-27,68.5,6854.77685546875,,,,,
2023-02-28,68.2,6843.23876953125,,,,,
2023-03-01,68.5,6844.93603515625,,,,,
2023-03-02,69.2,6857.4150390625,,,,,
2023-03-03,57.6,6813.63623046875,,,,,
2023-03-06,59.8,6807.0009765625,,,,,
2023-03-07,52.1,6766.7578125,,,,,
2023-03-08,55.6,6776.3701171875,,,,,
2023-03-09,59.9,6799.794921875,,,,,
2023-03-10,56.6,6765.3017578125,,,,,
2023-03-13,53.5,6786.955078125,,,,,
2023-03-14,35.5,6641.81396484375,,,,,
2023-03-15,34.3,6628.13720703125,,,,,
2023-03-16,32.9,6565.72802734375,,,,,
2023-03-17,52.6,6678.23681640625,,,,,
2023-03-20,44.7,6612.490234375,,,,,
2023-03-21,53.1,6691.61083984375,,,,,
2023-03-24,61.2,6762.25390625,,,,,
2023-03-27,55.8,6708.93310546875,,,,,
2023-03-28,51.4,6760.328125,,,,,
2023-03-29,63.2,6839.43603515625,,,,,
2023-03-30,62.2,6808.951171875,,,,,
2023-03-31,59.1,6805.27685546875,,,,,
2023-04-03,62.7,6827.1748046875,,,,,
2023-04-04,63.6,6833.17822265625,,,,,
2023-04-05,61.1,6819.6748046875,,,,,
2023-04-06,61.0,6792.76513671875,,,,,
2023-04-10,54.9,6771.23486328125,,,,,
2023-04-11,61.5,6811.31396484375,,,,,
2023-04-12,57.7,6798.9638671875,,,,,
2023-04-13,58.8,6785.59814453125,,,,,
2023-04-14,59.3,6818.57421875,,,,,
2023-04-17,55.2,6787.58203125,,,,,
2023-04-18,56.1,6821.80712890625,,,,,
2023-04-26,66.0,6910.14697265625,,,,,
2023-04-27,69.1,6945.47705078125,,,,,
2023-04-28,65.6,6915.7158203125,,,,,
2023-05-02,60.5,6863.3017578125,,,,,
2023-05-03,53.7,6812.72216796875,,,,,
2023-05-04,60.6,6844.02685546875,,,,,
2023-05-05,54.1,6787.630859375,,,,,
2023-05-08,59.6,6769.630859375,,,,,
2023-05-09,65.0,6779.97998046875,,,,,
2023-05-10,72.0,6811.90478515625,,,,,
2023-05-11,72.2,6755.93798828125,,,,,
2023-05-12,66.0,6707.76318359375,,,,,
2023-05-15,58.4,6711.740234375,,,,,
2023-05-16,54.7,6676.56396484375,,,,,
2023-05-17,56.1,6663.11376953125,,,,,
2023-05-19,59.8,6700.56103515625,,,,,
2023-05-22,63.2,6729.64697265625,,,,,
2023-05-23,65.3,6736.68408203125,,,,,
2023-05-24,63.5,6745.80419921875,,,,,
2023-05-25,56.9,6704.23095703125,,,,,
2023-05-26,52.2,6687.0009765625,,,,,
2023-05-29,55.0,6681.10205078125,,,,,
2023-05-30,48.9,6636.4228515625,,,,,
2023-05-31,57.3,6633.26123046875,,,,,
2023-06-05,57.7,6633.43701171875,,,,,
2023-06-06,57.5,6618.9228515625,,,,,
2023-06-07,57.6,6619.7548828125,,,,,
2023-06-08,59.7,6666.330078125,,,,,
2023-06-09,51.7,6694.02392578125,,,,,
2023-06-12,52.3,6722.373046875,,,,,
2023-06-13,50.9,6719.01416015625,,,,,
2023-06-14,50.2,6699.716796875,,,,,
2023-06-15,50.6,6713.794921875,,,,,
2023-06-16,47.4,6698.546875,,,,,
2023-06-19,43.7,6686.05908203125,,,,,
2023-06-20,39.7,6660.455078125,,,,,
2023-06-21,44.7,6702.625,,,,,
2023-06-22,41.9,6652.26123046875,,,,,
2023-06-23,37.7,6639.73291015625,,,,,
2023-06-26,41.5,6664.66796875,,,,,
2023-06-27,40.4,6661.87890625,,,,,
2023-07-03,48.4,6696.7158203125,,,,,
2023-07-04,46.2,6681.75390625,,,,,
2023-07-05,52.2,6718.97705078125,,,,,
2023-07-06,58.6,6757.3310546875,,,,,
2023-07-07,47.8,6716.458984375,,,,,
2023-07-10,44.3,6731.0380859375,,,,,
2023-07-11,52.1,6796.923828125,,,,,
2023-07-12,53.6,6808.208984375,,,,,
2023-07-13,52.1,6810.212890625,,,,,
2023-07-14,55.5,6869.57177734375,,,,,
2023-07-17,53.1,6867.14404296875,,,,,
2023-07-18,50.0,6830.203125,,,,,
2023-07-20,53.4,6864.18896484375,,,,,
2023-07-21,50.2,6880.8017578125,,,,,
2023-07-24,53.1,6899.39599609375,,,,,
2023-07-25,52.4,6917.7109375,,,,,
2023-07-26,53.3,6948.27880859375,,,,,
2023-07-27,49.0,6896.6630859375,,,,,
2023-07-28,49.5,6900.22998046875,,,,,
2023-07-31,54.7,6931.35888671875,,,,,
2023-08-01,48.2,6886.49609375,,,,,
2023-08-02,47.7,6854.509765625,,,,,
2023-08-03,51.7,6898.0771484375,,,,,
2023-08-04,46.4,6852.841796875,,,,,
2023-08-07,50.6,6886.3662109375,,,,,
2023-08-08,47.2,6868.81298828125,,,,,
2023-08-09,48.0,6875.11181640625,,,,,
2023-08-10,50.2,6893.27587890625,,,,,
2023-08-11,45.4,6879.97900390625,,,,,
2023-08-14,47.7,6910.171875,,,,,
2023-08-15,48.3,6915.10107421875,,,,,
2023-08-16,38.2,6900.5380859375,,,,,
2023-08-18,31.0,6859.912109375,,,,,
2023-08-21,38.1,6866.033203125,,,,,
2023-08-22,44.1,6916.4501953125,,,,,
2023-08-23,42.6,6921.41015625,,,,,
2023-08-24,38.1,6899.39208984375,,,,,
2023-08-25,38.7,6895.44287109375,,,,,
2023-08-28,42.6,6921.72705078125,,,,,
2023-08-29,46.7,6957.8349609375,,,,,
2023-08-30,50.3,6966.65576171875,,,,,
2023-08-31,50.3,6953.259765625,,,,,
2023-09-01,55.2,6977.65380859375,,,,,
2023-09-04,50.7,6996.75,,,,,
2023-09-05,44.1,6991.7080078125,,,,,
